Fecha,Consumo,Consumo_Minimo,Consumo_Maximo
2023-01-01,402,286,589
2023-01-02,1435,1282,1629
2023-01-03,1270,1197,1393
2023-01-04,1106,943,1172
2023-01-05,1071,990,1204
2023-01-06,1700,1565,1818
2023-01-07,320,144,403
2023-01-08,402,223,457
2023-01-09,1121,1055,1223
2023-01-10,1466,1313,1641
2023-01-11,1214,1028,1306
2023-01-12,1330,1238,1494
2023-01-13,1458,1370,1618
2023-01-14,387,312,516
2023-01-15,399,251,543
2023-01-16,1663,1564,1830
2023-01-17,1130,1068,1323
2023-01-18,1661,1552,1718
2023-01-19,1308,1124,1489
2023-01-20,1769,1663,1922
2023-01-21,593,508,774
2023-01-22,491,422,565
2023-01-23,1276,1162,1421
2023-01-24,1160,1103,1302
2023-01-25,1459,1266,1569
2023-01-26,1313,1122,1484
2023-01-27,1021,857,1121
2023-01-28,552,360,748
2023-01-29,535,394,605
2023-01-30,1560,1413,1614
2023-01-31,1474,1359,1615
2023-02-01,1058,977,1168
2023-02-02,1510,1375,1581
2023-02-03,1681,1581,1879
2023-02-04,487,375,606
2023-02-05,570,396,620
2023-02-06,1189,990,1371
2023-02-07,1686,1579,1747
2023-02-08,1562,1455,1701
2023-02-09,1566,1431,1661
2023-02-10,1243,1145,1326
2023-02-11,430,311,557
2023-02-12,434,370,528
2023-02-13,1020,917,1142
2023-02-14,1166,1016,1241
2023-02-15,1273,1216,1369
2023-02-16,1387,1285,1557
2023-02-17,1600,1491,1705
2023-02-18,313,156,456
2023-02-19,541,487,697
2023-02-20,1776,1624,1888
2023-02-21,1345,1290,1442
2023-02-22,1564,1406,1674
2023-02-23,1339,1174,1469
2023-02-24,1091,948,1166
2023-02-25,563,467,648
2023-02-26,334,186,384
2023-02-27,1205,1101,1262
2023-02-28,1080,979,1242
2023-03-01,1561,1368,1709
2023-03-02,1387,1325,1483
2023-03-03,1001,838,1177
2023-03-04,353,180,458
2023-03-05,405,250,468
2023-03-06,1771,1575,1848
2023-03-07,1476,1282,1603
2023-03-08,1702,1533,1881
2023-03-09,1401,1289,1559
2023-03-10,1729,1661,1792
2023-03-11,343,202,448
2023-03-12,461,354,625
2023-03-13,1201,1062,1257
2023-03-14,1269,1103,1321
2023-03-15,1270,1159,1430
2023-03-16,1455,1383,1611
2023-03-17,1461,1285,1528
2023-03-18,514,328,601
2023-03-19,551,362,715
2023-03-20,1701,1523,1765
2023-03-21,1295,1188,1463
2023-03-22,1724,1553,1801
2023-03-23,1719,1669,1807
2023-03-24,1748,1665,1814
2023-03-25,352,207,487
2023-03-26,579,404,754
2023-03-27,1216,1049,1309
2023-03-28,1763,1666,1837
2023-03-29,1187,1049,1381
2023-03-30,1379,1213,1441
2023-03-31,1492,1314,1566
2023-04-01,340,275,457
2023-04-02,456,338,643
2023-04-03,1014,943,1130
2023-04-04,1064,922,1222
2023-04-05,1520,1395,1715
2023-04-06,1343,1150,1503
2023-04-07,1128,993,1288
2023-04-08,435,357,518
2023-04-09,362,244,522
2023-04-10,1138,1042,1195
2023-04-11,1498,1355,1660
2023-04-12,1592,1399,1724
2023-04-13,1391,1257,1482
2023-04-14,1674,1586,1824
2023-04-15,588,439,643
2023-04-16,560,478,635
2023-04-17,1489,1339,1602
2023-04-18,1230,1158,1338
2023-04-19,1040,981,1198
2023-04-20,1027,909,1197
2023-04-21,1134,985,1216
2023-04-22,500,417,699
2023-04-23,567,380,637
2023-04-24,1032,836,1151
2023-04-25,1047,902,1208
2023-04-26,1502,1452,1555
2023-04-27,1406,1288,1549
