Fecha,Temperatura (°C)
2024-10-22 00:00:00,22.0
2024-10-22 01:00:00,21.8
2024-10-22 02:00:00,21.6
2024-10-22 03:00:00,21.4
2024-10-22 04:00:00,21.3
2024-10-22 05:00:00,21.2
2024-10-22 06:00:00,21.5
2024-10-22 07:00:00,21.4
2024-10-22 08:00:00,21.5
2024-10-22 09:00:00,22.1
2024-10-22 10:00:00,23.1
2024-10-22 11:00:00,24.1
2024-10-22 12:00:00,25.1
2024-10-22 13:00:00,25.4
2024-10-22 14:00:00,25.5
2024-10-22 15:00:00,25.1
2024-10-22 16:00:00,24.7
2024-10-22 17:00:00,23.9
2024-10-22 18:00:00,23.0
2024-10-22 19:00:00,22.0
2024-10-22 20:00:00,21.6
2024-10-22 21:00:00,21.3
2024-10-22 22:00:00,21.0
2024-10-22 23:00:00,20.7
2024-10-23 00:00:00,20.3
2024-10-23 01:00:00,20.1
2024-10-23 02:00:00,20.1
2024-10-23 03:00:00,20.3
2024-10-23 04:00:00,20.7
2024-10-23 05:00:00,20.8
2024-10-23 06:00:00,20.7
2024-10-23 07:00:00,20.5
2024-10-23 08:00:00,20.7
2024-10-23 09:00:00,22.1
2024-10-23 10:00:00,23.7
2024-10-23 11:00:00,24.8
2024-10-23 12:00:00,25.5
2024-10-23 13:00:00,25.8
2024-10-23 14:00:00,25.9
2024-10-23 15:00:00,25.8
2024-10-23 16:00:00,25.2
2024-10-23 17:00:00,24.3
2024-10-23 18:00:00,23.1
2024-10-23 19:00:00,22.0
2024-10-23 20:00:00,21.4
2024-10-23 21:00:00,21.0
2024-10-23 22:00:00,20.8
2024-10-23 23:00:00,20.6
2024-10-24 00:00:00,20.6
2024-10-24 01:00:00,20.5
2024-10-24 02:00:00,20.5
2024-10-24 03:00:00,20.3
2024-10-24 04:00:00,20.3
2024-10-24 05:00:00,20.0
2024-10-24 06:00:00,19.9
2024-10-24 07:00:00,19.9
2024-10-24 08:00:00,20.1
2024-10-24 09:00:00,21.8
2024-10-24 10:00:00,23.6
2024-10-24 11:00:00,24.5
2024-10-24 12:00:00,25.3
2024-10-24 13:00:00,26.1
2024-10-24 14:00:00,26.3
2024-10-24 15:00:00,26.0
2024-10-24 16:00:00,25.2
2024-10-24 17:00:00,24.2
2024-10-24 18:00:00,23.1
2024-10-24 19:00:00,22.1
2024-10-24 20:00:00,21.7
2024-10-24 21:00:00,21.4
