Fecha,Temperatura (Icod),Temperatura (Adeje),Temperatura (SantaCruz)
2024-10-22 00:00:00,19.6,19.9,22.0
2024-10-22 01:00:00,19.3,19.8,21.8
2024-10-22 02:00:00,19.0,19.6,21.6
2024-10-22 03:00:00,19.0,19.1,21.4
2024-10-22 04:00:00,18.6,18.4,21.3
2024-10-22 05:00:00,18.4,18.3,21.2
2024-10-22 06:00:00,18.8,19.0,21.5
2024-10-22 07:00:00,18.5,18.6,21.4
2024-10-22 08:00:00,18.5,18.8,21.5
2024-10-22 09:00:00,19.6,20.0,22.1
2024-10-22 10:00:00,20.7,20.5,23.1
2024-10-22 11:00:00,21.4,21.3,24.1
2024-10-22 12:00:00,21.8,21.9,25.1
2024-10-22 13:00:00,21.9,22.2,25.4
2024-10-22 14:00:00,22.2,22.3,25.5
2024-10-22 15:00:00,22.0,22.3,25.1
2024-10-22 16:00:00,21.6,22.1,24.7
2024-10-22 17:00:00,21.1,21.6,23.9
2024-10-22 18:00:00,20.7,21.1,23.0
2024-10-22 19:00:00,19.7,20.1,22.0
2024-10-22 20:00:00,19.3,19.1,21.6
2024-10-22 21:00:00,19.1,18.9,21.3
2024-10-22 22:00:00,19.2,18.8,21.0
2024-10-22 23:00:00,19.1,18.8,20.7
2024-10-23 00:00:00,18.8,18.5,20.3
2024-10-23 01:00:00,18.5,18.2,20.1
2024-10-23 02:00:00,18.2,18.0,20.1
2024-10-23 03:00:00,18.0,17.8,20.3
2024-10-23 04:00:00,17.9,17.7,20.7
2024-10-23 05:00:00,17.9,17.8,20.8
2024-10-23 06:00:00,18.0,17.6,20.7
2024-10-23 07:00:00,18.1,17.6,20.5
2024-10-23 08:00:00,18.6,17.7,20.7
2024-10-23 09:00:00,20.0,19.4,22.1
2024-10-23 10:00:00,21.3,20.3,23.7
2024-10-23 11:00:00,21.9,21.5,24.8
2024-10-23 12:00:00,22.0,22.4,25.5
2024-10-23 13:00:00,21.8,22.8,25.8
2024-10-23 14:00:00,21.8,22.7,25.9
2024-10-23 15:00:00,21.9,22.6,25.8
2024-10-23 16:00:00,21.7,22.4,25.2
2024-10-23 17:00:00,21.1,22.1,24.3
2024-10-23 18:00:00,20.3,21.3,23.1
2024-10-23 19:00:00,19.6,20.5,22.0
2024-10-23 20:00:00,19.1,19.7,21.4
2024-10-23 21:00:00,18.7,18.9,21.0
2024-10-23 22:00:00,18.5,18.4,20.8
2024-10-23 23:00:00,18.2,18.1,20.6
2024-10-24 00:00:00,18.1,18.0,20.6
2024-10-24 01:00:00,18.0,18.0,20.5
2024-10-24 02:00:00,17.9,17.9,20.5
2024-10-24 03:00:00,17.7,17.6,20.3
2024-10-24 04:00:00,17.7,17.3,20.3
2024-10-24 05:00:00,17.7,17.2,20.0
2024-10-24 06:00:00,17.6,17.2,19.9
2024-10-24 07:00:00,17.7,17.2,19.9
2024-10-24 08:00:00,18.0,17.4,20.1
2024-10-24 09:00:00,19.9,19.5,21.8
2024-10-24 10:00:00,21.4,21.5,23.6
2024-10-24 11:00:00,22.2,22.6,24.5
2024-10-24 12:00:00,22.2,23.4,25.3
2024-10-24 13:00:00,22.2,23.9,26.1
2024-10-24 14:00:00,22.4,24.4,26.3
2024-10-24 15:00:00,22.4,25.4,26.0
2024-10-24 16:00:00,22.0,24.6,25.2
2024-10-24 17:00:00,21.2,23.7,24.2
2024-10-24 18:00:00,20.4,22.2,23.1
2024-10-24 19:00:00,19.8,21.7,22.1
2024-10-24 20:00:00,19.3,20.6,21.7
2024-10-24 21:00:00,19.1,19.8,21.4
2024-10-24 22:00:00,18.9,19.0,21.2
2024-10-24 23:00:00,18.8,18.6,21.0
2024-10-25 00:00:00,18.9,18.5,20.9
2024-10-25 01:00:00,18.9,18.5,20.8
2024-10-25 02:00:00,18.8,18.4,20.7
2024-10-25 03:00:00,18.7,18.3,20.6
2024-10-25 04:00:00,18.6,18.1,20.7
2024-10-25 05:00:00,18.5,17.9,20.7
2024-10-25 06:00:00,18.5,17.6,20.5
2024-10-25 07:00:00,18.6,17.6,20.8
2024-10-25 08:00:00,18.5,17.8,21.1
2024-10-25 09:00:00,19.6,19.9,22.3
2024-10-25 10:00:00,20.8,22.0,23.4
2024-10-25 11:00:00,21.8,23.0,24.3
2024-10-25 12:00:00,22.3,23.4,25.0
2024-10-25 13:00:00,22.2,23.4,25.3
2024-10-25 14:00:00,22.4,23.3,25.3
2024-10-25 15:00:00,22.2,22.8,24.9
2024-10-25 16:00:00,21.6,22.0,24.3
2024-10-25 17:00:00,21.1,21.3,23.6
2024-10-25 18:00:00,20.4,20.5,22.7
2024-10-25 19:00:00,19.5,19.6,22.0
2024-10-25 20:00:00,19.2,19.2,21.6
2024-10-25 21:00:00,19.0,19.1,21.3
2024-10-25 22:00:00,19.0,19.0,21.2
2024-10-25 23:00:00,19.3,18.9,21.2
2024-10-26 00:00:00,19.7,19.2,21.3
2024-10-26 01:00:00,20.1,19.0,21.4
2024-10-26 02:00:00,20.2,18.8,21.6
2024-10-26 03:00:00,19.7,18.7,21.6
2024-10-26 04:00:00,19.4,18.6,21.4
2024-10-26 05:00:00,19.1,18.3,21.3
2024-10-26 06:00:00,18.9,18.1,21.1
2024-10-26 07:00:00,18.5,18.3,20.9
2024-10-26 08:00:00,18.4,18.0,20.8
2024-10-26 09:00:00,19.3,18.5,21.9
2024-10-26 10:00:00,20.2,19.3,22.9
2024-10-26 11:00:00,21.2,19.9,23.4
2024-10-26 12:00:00,21.1,19.1,24.0
2024-10-26 13:00:00,20.9,18.4,24.3
2024-10-26 14:00:00,21.4,18.9,24.3
2024-10-26 15:00:00,21.2,19.7,24.1
2024-10-26 16:00:00,20.7,19.2,23.2
2024-10-26 17:00:00,20.0,18.5,22.6
2024-10-26 18:00:00,19.5,18.1,22.0
2024-10-26 19:00:00,18.0,20.7,21.3
2024-10-26 20:00:00,17.6,19.9,20.9
2024-10-26 21:00:00,17.3,19.3,20.7
2024-10-26 22:00:00,17.2,18.9,20.6
2024-10-26 23:00:00,17.3,18.7,20.6
2024-10-27 00:00:00,17.4,18.5,20.7
2024-10-27 01:00:00,17.5,18.2,20.9
2024-10-27 02:00:00,17.7,17.9,21.0
2024-10-27 03:00:00,17.8,17.6,21.1
2024-10-27 04:00:00,17.6,17.1,21.0
2024-10-27 05:00:00,17.4,16.7,20.8
2024-10-27 06:00:00,17.3,16.6,20.6
2024-10-27 07:00:00,17.4,17.1,20.6
2024-10-27 08:00:00,17.6,18.1,20.8
2024-10-27 09:00:00,18.0,19.0,21.1
2024-10-27 10:00:00,18.5,20.0,21.7
2024-10-27 11:00:00,19.1,20.9,22.5
2024-10-27 12:00:00,19.6,21.7,23.0
2024-10-27 13:00:00,19.7,22.2,23.2
2024-10-27 14:00:00,19.7,22.6,23.2
2024-10-27 15:00:00,19.6,22.6,23.0
2024-10-27 16:00:00,19.2,22.2,22.6
2024-10-27 17:00:00,18.6,21.5,22.1
2024-10-27 18:00:00,18.2,20.8,21.7
2024-10-27 19:00:00,17.9,20.0,21.4
2024-10-27 20:00:00,17.8,19.3,21.2
2024-10-27 21:00:00,17.7,18.7,21.0
2024-10-27 22:00:00,17.6,18.3,20.9
2024-10-27 23:00:00,17.6,18.0,20.9
2024-10-28 00:00:00,17.6,17.8,20.8
2024-10-28 01:00:00,17.5,17.7,20.7
2024-10-28 02:00:00,17.4,17.6,20.7
2024-10-28 03:00:00,17.4,17.5,20.6
2024-10-28 04:00:00,17.3,17.4,20.6
2024-10-28 05:00:00,17.3,17.3,20.6
2024-10-28 06:00:00,17.4,17.5,20.8
2024-10-28 07:00:00,17.6,17.9,21.0
2024-10-28 08:00:00,17.9,18.5,21.4
2024-10-28 09:00:00,18.3,19.3,21.8
2024-10-28 10:00:00,18.9,20.2,22.1
2024-10-28 11:00:00,19.5,21.3,22.4
2024-10-28 12:00:00,20.0,22.1,22.7
2024-10-28 13:00:00,20.3,22.3,23.0
2024-10-28 14:00:00,20.4,22.1,23.2
2024-10-28 15:00:00,20.3,21.9,23.2
2024-10-28 16:00:00,19.9,21.6,23.0
2024-10-28 17:00:00,19.2,21.1,22.6
2024-10-28 18:00:00,18.7,20.7,22.3
2024-10-28 19:00:00,18.3,20.1,22.0
2024-10-28 20:00:00,18.1,19.5,21.7
2024-10-28 21:00:00,17.9,19.0,21.4
2024-10-28 22:00:00,17.7,18.7,21.2
2024-10-28 23:00:00,17.6,18.7,21.1
