Fecha,Temperatura (°C),Humedad Relativa (%),Probabilidad Precipitación (%),Velocidad Viento (km/h)
2024-10-22 00:00:00,19.6,70,3,11.0
2024-10-22 01:00:00,19.3,76,5,11.7
2024-10-22 02:00:00,19.0,80,7,13.0
2024-10-22 03:00:00,19.0,78,9,13.9
2024-10-22 04:00:00,18.6,88,9,13.2
2024-10-22 05:00:00,18.4,86,7,13.5
2024-10-22 06:00:00,18.8,81,6,12.7
2024-10-22 07:00:00,18.5,84,6,12.8
2024-10-22 08:00:00,18.5,85,6,12.0
2024-10-22 09:00:00,19.6,80,6,13.8
2024-10-22 10:00:00,20.7,77,5,17.3
2024-10-22 11:00:00,21.4,73,4,18.8
2024-10-22 12:00:00,21.8,66,3,20.3
2024-10-22 13:00:00,21.9,66,3,21.9
2024-10-22 14:00:00,22.2,63,3,22.6
2024-10-22 15:00:00,22.0,66,3,21.5
2024-10-22 16:00:00,21.6,72,2,21.5
2024-10-22 17:00:00,21.1,69,1,17.8
2024-10-22 18:00:00,20.9,66,0,12.7
2024-10-22 19:00:00,19.9,74,1,12.0
2024-10-22 20:00:00,19.4,76,2,10.7
2024-10-22 21:00:00,19.2,76,3,12.4
2024-10-22 22:00:00,19.2,75,2,13.1
2024-10-22 23:00:00,19.4,69,1,13.2
2024-10-23 00:00:00,19.0,68,0,10.2
2024-10-23 01:00:00,18.6,68,0,8.9
2024-10-23 02:00:00,18.3,68,0,8.7
2024-10-23 03:00:00,18.1,71,0,9.8
2024-10-23 04:00:00,18.1,78,0,10.0
2024-10-23 05:00:00,18.1,89,0,10.3
2024-10-23 06:00:00,18.2,88,0,11.2
2024-10-23 07:00:00,18.4,83,0,11.3
2024-10-23 08:00:00,18.8,72,0,11.3
2024-10-23 09:00:00,20.3,62,0,12.5
2024-10-23 10:00:00,21.6,61,0,16.1
2024-10-23 11:00:00,22.1,70,1,19.8
2024-10-23 12:00:00,22.3,72,3,20.3
2024-10-23 13:00:00,22.3,75,7,20.3
2024-10-23 14:00:00,22.0,76,12,18.7
2024-10-23 15:00:00,21.8,75,14,16.3
2024-10-23 16:00:00,21.5,75,12,14.5
2024-10-23 17:00:00,21.0,76,7,13.1
2024-10-23 18:00:00,20.4,79,3,10.5
2024-10-23 19:00:00,19.7,81,1,8.0
2024-10-23 20:00:00,19.2,83,0,8.6
2024-10-23 21:00:00,18.9,84,0,8.4
2024-10-23 22:00:00,18.7,84,1,8.3
2024-10-23 23:00:00,18.5,87,2,8.0
2024-10-24 00:00:00,18.3,85,3,6.5
2024-10-24 01:00:00,18.2,88,2,5.1
2024-10-24 02:00:00,17.9,91,1,5.2
2024-10-24 03:00:00,17.7,90,0,5.2
2024-10-24 04:00:00,17.6,90,0,8.0
2024-10-24 05:00:00,17.7,84,0,5.0
2024-10-24 06:00:00,17.6,84,0,8.9
2024-10-24 07:00:00,17.5,82,1,8.3
2024-10-24 08:00:00,18.0,77,2,6.6
2024-10-24 09:00:00,19.6,71,3,10.1
2024-10-24 10:00:00,21.2,70,2,9.6
2024-10-24 11:00:00,22.0,73,1,17.2
2024-10-24 12:00:00,22.3,76,0,15.4
2024-10-24 13:00:00,22.4,78,1,15.3
2024-10-24 14:00:00,22.4,77,2,14.1
2024-10-24 15:00:00,22.2,79,3,13.9
2024-10-24 16:00:00,21.8,80,3,12.3
2024-10-24 17:00:00,21.4,81,3,11.2
2024-10-24 18:00:00,20.6,86,3,9.9
2024-10-24 19:00:00,19.7,92,2,7.9
2024-10-24 20:00:00,19.2,91,1,9.1
2024-10-24 21:00:00,19.0,88,0,9.7
2024-10-24 22:00:00,18.9,85,0,9.4
2024-10-24 23:00:00,18.8,83,0,10.9
2024-10-25 00:00:00,18.9,79,0,10.9
2024-10-25 01:00:00,18.7,80,1,9.7
2024-10-25 02:00:00,18.4,82,2,9.7
2024-10-25 03:00:00,18.3,82,3,9.8
2024-10-25 04:00:00,18.3,78,3,9.8
2024-10-25 05:00:00,18.2,79,3,9.1
2024-10-25 06:00:00,18.1,77,3,9.1
2024-10-25 07:00:00,18.1,75,3,9.6
2024-10-25 08:00:00,18.4,74,3,10.7
2024-10-25 09:00:00,20.1,68,3,11.5
2024-10-25 10:00:00,21.5,69,2,14.3
2024-10-25 11:00:00,22.1,71,1,17.8
2024-10-25 12:00:00,22.5,70,0,18.8
2024-10-25 13:00:00,22.7,69,1,18.7
2024-10-25 14:00:00,22.5,76,2,20.6
2024-10-25 15:00:00,22.2,77,3,20.7
2024-10-25 16:00:00,21.7,78,4,17.8
2024-10-25 17:00:00,21.3,78,5,16.1
2024-10-25 18:00:00,20.6,78,6,13.5
2024-10-25 19:00:00,19.7,81,6,11.8
2024-10-25 20:00:00,19.1,82,6,10.4
2024-10-25 21:00:00,18.9,77,6,10.5
2024-10-25 22:00:00,18.8,73,6,13.0
2024-10-25 23:00:00,19.2,59,6,12.7
2024-10-26 00:00:00,19.4,68,6,14.4
2024-10-26 01:00:00,20.1,63,6,17.8
2024-10-26 02:00:00,20.0,75,6,15.2
2024-10-26 03:00:00,19.8,79,6,16.6
2024-10-26 04:00:00,19.7,78,8,17.0
2024-10-26 05:00:00,19.4,81,11,14.6
2024-10-26 06:00:00,18.9,89,13,14.3
2024-10-26 07:00:00,18.9,81,15,13.7
2024-10-26 08:00:00,18.4,89,18,14.2
2024-10-26 09:00:00,18.3,84,21,15.1
2024-10-26 10:00:00,19.4,70,24,15.5
2024-10-26 11:00:00,20.8,62,25,17.9
2024-10-26 12:00:00,21.4,63,25,21.2
2024-10-26 13:00:00,21.6,64,23,23.2
2024-10-26 14:00:00,20.6,72,19,23.2
2024-10-26 15:00:00,19.7,69,15,18.3
2024-10-26 16:00:00,20.4,64,10,16.7
2024-10-26 17:00:00,20.3,64,6,17.1
2024-10-26 18:00:00,19.7,64,3,16.3
2024-10-26 19:00:00,18.7,77,1,15.3
2024-10-26 20:00:00,18.6,73,0,14.7
2024-10-26 21:00:00,18.6,64,0,10.7
2024-10-26 22:00:00,18.1,86,0,12.0
2024-10-26 23:00:00,18.2,78,0,14.0
2024-10-27 00:00:00,18.0,80,0,12.6
2024-10-27 01:00:00,17.6,79,0,25.8
2024-10-27 02:00:00,17.5,80,0,25.8
2024-10-27 03:00:00,17.4,81,0,25.6
2024-10-27 04:00:00,17.5,81,0,24.8
2024-10-27 05:00:00,17.7,81,0,23.8
2024-10-27 06:00:00,17.9,81,0,23.2
2024-10-27 07:00:00,18.0,82,0,22.8
2024-10-27 08:00:00,18.0,84,0,22.9
2024-10-27 09:00:00,18.2,85,0,23.2
2024-10-27 10:00:00,18.6,84,0,23.8
2024-10-27 11:00:00,19.1,83,0,25.0
2024-10-27 12:00:00,19.5,81,0,26.0
2024-10-27 13:00:00,19.9,79,0,26.7
2024-10-27 14:00:00,20.1,77,0,27.8
2024-10-27 15:00:00,20.1,77,0,27.8
2024-10-27 16:00:00,19.6,81,1,26.5
2024-10-27 17:00:00,18.8,86,1,25.0
2024-10-27 18:00:00,18.2,90,1,23.7
2024-10-27 19:00:00,17.9,91,1,21.8
2024-10-27 20:00:00,17.8,90,2,20.6
2024-10-27 21:00:00,17.7,90,2,19.8
2024-10-27 22:00:00,17.6,91,2,19.6
2024-10-27 23:00:00,17.6,91,3,19.5
2024-10-28 00:00:00,17.6,92,3,19.5
2024-10-28 01:00:00,17.5,93,3,18.8
2024-10-28 02:00:00,17.4,93,4,17.9
2024-10-28 03:00:00,17.4,94,4,17.2
2024-10-28 04:00:00,17.3,94,5,17.2
2024-10-28 05:00:00,17.3,95,5,17.6
2024-10-28 06:00:00,17.4,94,6,17.9
2024-10-28 07:00:00,17.6,92,7,18.4
2024-10-28 08:00:00,17.9,90,7,19.3
2024-10-28 09:00:00,18.3,87,7,20.2
2024-10-28 10:00:00,18.9,84,8,21.2
2024-10-28 11:00:00,19.5,80,8,22.5
2024-10-28 12:00:00,20.0,78,8,23.4
