Fecha,Temperatura (°C),Humedad Relativa (%),Probabilidad Precipitación (%),Velocidad Viento (km/h)
2024-11-20 00:00:00,19.6,75,6,6.2
2024-11-20 01:00:00,19.3,74,8,7.0
2024-11-20 02:00:00,19.2,76,12,10.2
2024-11-20 03:00:00,19.3,71,14,8.6
2024-11-20 04:00:00,19.3,74,12,10.1
2024-11-20 05:00:00,19.4,70,8,9.2
2024-11-20 06:00:00,19.6,66,6,10.0
2024-11-20 07:00:00,19.6,63,6,8.8
2024-11-20 08:00:00,19.6,64,8,8.4
2024-11-20 09:00:00,20.6,65,9,9.0
2024-11-20 10:00:00,22.1,61,9,5.0
2024-11-20 11:00:00,22.7,61,9,2.5
2024-11-20 12:00:00,23.6,59,9,9.9
2024-11-20 13:00:00,23.5,59,12,6.9
2024-11-20 14:00:00,24.3,57,15,8.5
2024-11-20 15:00:00,24.1,59,17,11.2
2024-11-20 16:00:00,23.7,63,14,10.0
2024-11-20 17:00:00,22.6,70,10,4.3
2024-11-20 18:00:00,21.9,74,6,3.1
2024-11-20 19:00:00,21.2,69,5,4.7
2024-11-20 20:00:00,21.1,59,6,4.6
2024-11-20 21:00:00,21.2,54,6,5.0
2024-11-20 22:00:00,20.7,55,6,5.7
2024-11-20 23:00:00,21.0,50,6,5.2
2024-11-21 00:00:00,20.9,52,6,5.7
2024-11-21 01:00:00,21.0,49,5,2.9
2024-11-21 02:00:00,20.7,52,4,4.8
2024-11-21 03:00:00,20.9,52,3,2.3
2024-11-21 04:00:00,20.8,47,2,3.7
2024-11-21 05:00:00,20.7,44,1,4.0
2024-11-21 06:00:00,20.6,44,0,4.3
2024-11-21 07:00:00,20.6,42,0,6.9
2024-11-21 08:00:00,20.7,42,0,6.1
2024-11-21 09:00:00,22.1,37,0,3.2
2024-11-21 10:00:00,24.5,35,0,1.6
2024-11-21 11:00:00,25.6,40,0,5.4
2024-11-21 12:00:00,26.0,44,0,6.9
2024-11-21 13:00:00,26.7,40,0,8.4
2024-11-21 14:00:00,27.0,37,0,7.5
2024-11-21 15:00:00,27.1,36,0,6.5
2024-11-21 16:00:00,26.6,40,2,5.0
2024-11-21 17:00:00,26.1,42,4,4.3
2024-11-21 18:00:00,25.4,44,6,0.8
2024-11-21 19:00:00,24.3,45,6,2.9
2024-11-21 20:00:00,23.6,40,6,5.4
2024-11-21 21:00:00,23.2,34,6,8.7
2024-11-21 22:00:00,23.5,34,7,12.3
2024-11-21 23:00:00,23.8,28,9,11.9
2024-11-22 00:00:00,23.4,26,9,7.3
2024-11-22 01:00:00,22.8,26,7,9.0
2024-11-22 02:00:00,22.6,26,5,8.3
2024-11-22 03:00:00,22.5,25,3,4.8
2024-11-22 04:00:00,22.1,28,3,1.5
2024-11-22 05:00:00,21.1,42,3,2.3
2024-11-22 06:00:00,20.8,44,3,4.2
2024-11-22 07:00:00,20.4,45,2,2.9
2024-11-22 08:00:00,20.5,43,1,3.1
2024-11-22 09:00:00,21.6,41,0,2.6
2024-11-22 10:00:00,23.3,43,0,2.7
2024-11-22 11:00:00,24.0,54,0,7.4
2024-11-22 12:00:00,24.2,64,0,9.2
2024-11-22 13:00:00,24.7,56,1,10.0
2024-11-22 14:00:00,24.9,50,2,10.0
2024-11-22 15:00:00,24.8,48,3,8.4
2024-11-22 16:00:00,24.6,47,3,6.9
2024-11-22 17:00:00,23.9,52,3,5.5
2024-11-22 18:00:00,22.9,60,3,3.1
2024-11-22 19:00:00,21.8,60,4,2.5
2024-11-22 20:00:00,21.1,56,5,2.2
2024-11-22 21:00:00,20.4,55,6,1.8
2024-11-22 22:00:00,19.9,56,7,2.3
2024-11-22 23:00:00,19.4,60,8,1.9
2024-11-23 00:00:00,19.1,62,9,1.5
2024-11-23 01:00:00,18.9,61,8,2.3
2024-11-23 02:00:00,18.7,62,7,2.3
2024-11-23 03:00:00,18.7,60,6,2.6
2024-11-23 04:00:00,18.6,60,5,2.4
2024-11-23 05:00:00,18.4,62,4,2.5
2024-11-23 06:00:00,18.0,68,3,2.6
2024-11-23 07:00:00,18.0,65,4,2.2
2024-11-23 08:00:00,17.9,65,5,2.3
2024-11-23 09:00:00,19.0,65,6,3.3
2024-11-23 10:00:00,20.6,65,6,2.2
2024-11-23 11:00:00,21.8,68,6,4.8
2024-11-23 12:00:00,22.0,72,6,6.6
2024-11-23 13:00:00,22.3,69,6,7.1
2024-11-23 14:00:00,22.1,67,6,6.5
2024-11-23 15:00:00,22.0,65,6,6.3
2024-11-23 16:00:00,21.3,71,6,5.2
2024-11-23 17:00:00,20.6,82,6,3.7
2024-11-23 18:00:00,19.9,93,6,1.1
2024-11-23 19:00:00,19.6,95,8,2.1
2024-11-23 20:00:00,19.3,96,10,1.8
2024-11-23 21:00:00,19.3,87,11,3.1
2024-11-23 22:00:00,18.8,84,11,2.4
2024-11-23 23:00:00,18.5,83,10,3.1
2024-11-24 00:00:00,18.3,85,9,4.6
2024-11-24 01:00:00,18.2,85,9,4.7
2024-11-24 02:00:00,17.9,84,9,3.9
2024-11-24 03:00:00,17.8,83,0,5.0
2024-11-24 04:00:00,17.6,84,0,4.8
2024-11-24 05:00:00,17.5,84,0,6.3
2024-11-24 06:00:00,17.7,85,0,7.5
2024-11-24 07:00:00,21.7,50,2,4.0
2024-11-24 08:00:00,21.7,52,5,4.3
2024-11-24 09:00:00,22.0,53,9,5.4
2024-11-24 10:00:00,23.1,51,13,7.6
2024-11-24 11:00:00,24.5,47,16,10.0
2024-11-24 12:00:00,25.5,45,18,11.9
2024-11-24 13:00:00,25.8,45,19,12.2
2024-11-24 14:00:00,25.7,46,19,11.4
2024-11-24 15:00:00,25.3,49,19,10.2
2024-11-24 16:00:00,24.4,53,18,8.0
2024-11-24 17:00:00,23.1,58,18,5.6
2024-11-24 18:00:00,22.0,63,18,3.4
2024-11-24 19:00:00,21.3,68,23,1.9
2024-11-24 20:00:00,20.8,74,23,0.7
2024-11-24 21:00:00,20.4,78,23,0.4
2024-11-24 22:00:00,20.0,80,23,0.4
2024-11-24 23:00:00,19.8,81,23,0.8
2024-11-25 00:00:00,19.6,81,23,1.3
2024-11-25 01:00:00,19.5,81,23,1.9
2024-11-25 02:00:00,19.5,80,22,3.0
2024-11-25 03:00:00,19.5,79,21,4.0
2024-11-25 04:00:00,19.3,78,20,5.4
2024-11-25 05:00:00,19.1,77,19,6.8
2024-11-25 06:00:00,19.0,76,17,7.2
2024-11-25 07:00:00,19.0,77,16,5.8
2024-11-25 08:00:00,19.2,78,15,3.7
2024-11-25 09:00:00,19.8,78,13,3.3
2024-11-25 10:00:00,21.0,75,12,4.8
2024-11-25 11:00:00,22.7,70,11,6.4
2024-11-25 12:00:00,23.9,67,10,8.1
2024-11-25 13:00:00,24.4,66,9,9.0
2024-11-25 14:00:00,24.5,66,8,10.0
2024-11-25 15:00:00,24.2,69,8,10.2
2024-11-25 16:00:00,23.3,75,7,9.7
2024-11-25 17:00:00,22.0,84,6,8.8
2024-11-25 18:00:00,20.9,91,6,7.7
2024-11-25 19:00:00,20.3,96,5,7.0
2024-11-25 20:00:00,20.0,99,5,6.2
2024-11-25 21:00:00,19.7,99,4,5.8
2024-11-25 22:00:00,19.5,95,4,5.5
2024-11-25 23:00:00,19.5,88,3,5.4
2024-11-26 00:00:00,19.6,80,3,5.2
2024-11-26 01:00:00,19.9,72,3,4.0
2024-11-26 02:00:00,20.5,63,2,2.7
2024-11-26 03:00:00,20.9,57,2,1.5
2024-11-26 04:00:00,21.0,55,2,1.1
2024-11-26 05:00:00,21.0,55,1,1.6
2024-11-26 06:00:00,21.0,56,1,2.1
2024-11-26 07:00:00,21.2,57,1,2.3
2024-11-26 08:00:00,21.5,58,1,3.4
2024-11-26 09:00:00,22.1,58,0,4.5
2024-11-26 10:00:00,23.3,56,0,5.5
2024-11-26 11:00:00,24.9,52,0,6.8
2024-11-26 12:00:00,26.0,49,0,7.7
2024-11-26 13:00:00,26.6,47,0,8.4
2024-11-26 14:00:00,26.8,46,0,9.2
2024-11-26 15:00:00,26.5,46,0,8.9
2024-11-26 16:00:00,25.6,49,0,7.7
2024-11-26 17:00:00,24.4,54,0,5.6
2024-11-26 18:00:00,23.4,56,0,3.7
2024-11-26 19:00:00,23.2,54,0,2.3
2024-11-26 20:00:00,23.2,50,0,0.7
2024-11-26 21:00:00,23.3,46,0,0.4
2024-11-26 22:00:00,23.4,44,0,0.4
2024-11-26 23:00:00,23.4,44,0,1.8
