Fecha,Consumo Agua (L),Consumo Energía (kWh),Generación FV (kWh),Temperatura (°C),Radiación Solar (W/m²),Localización,Mes,Día de la Semana
2023-01-01,390.86066312761574,37.37736538222828,60.35415335376483,10.39828022663537,437.57085434980286,Edificio A,1,Sunday
2023-01-02,528.0603576368303,343.4793903084853,48.02832541873152,10.678073926957637,426.08987437831365,Edificio A,1,Monday
2023-01-03,543.6843597907309,341.22180755089346,61.33084238279338,6.486819619312361,435.64130324116496,Edificio A,1,Tuesday
2023-01-04,561.1018414676792,341.93862749476637,39.67881670055537,12.279632198933882,428.6464250503697,Edificio A,1,Wednesday
2023-01-05,525.8745685729521,333.1063562625735,66.47278441880191,11.105058821499018,430.78807541720124,Edificio A,1,Thursday
2023-01-06,525.797049848369,340.9647852236184,60.40417065964843,12.374566608753836,441.9425262687586,Edificio A,1,Friday
2023-01-07,411.991982477238,45.59157216308979,57.75600251529029,4.553869588422725,452.2411305604757,Edificio A,1,Saturday
2023-01-08,395.69016354345854,55.02363951855095,64.56080886729778,14.492342678084299,438.9962075945953,Edificio A,1,Sunday
2023-01-09,520.8915492820244,350.0142637619372,70.94765869034421,10.007015026737548,422.62027790841455,Edificio A,1,Monday
2023-01-10,541.0776490670726,361.87149686814536,64.01658214926844,12.474557733414176,438.57710028122773,Edificio A,1,Tuesday
2023-01-11,520.9093648638816,332.5931024513159,35.06518293940012,8.15178316259671,445.67183513602083,Edificio A,1,Wednesday
2023-01-12,520.8202679432466,348.9255008891844,40.30039405859575,11.431958725188657,427.20474559782247,Edificio A,1,Thursday
2023-01-13,534.9371392093067,341.9802607243626,46.49152308073205,8.075816130831942,431.5821844481389,Edificio A,1,Friday
2023-01-14,341.8012170717606,61.99826227955161,52.66557677530353,8.91277316348807,432.71185930536683,Edificio A,1,Saturday
2023-01-15,345.5433001324315,31.979502320486716,57.26772545751164,13.967471724588265,424.3815611388527,Edificio A,1,Sunday
2023-01-16,518.7766551034799,331.63639011064123,44.541770571037716,9.738582445311465,438.40196028784914,Edificio A,1,Monday
2023-01-17,509.7524519795644,334.01968512493903,53.396640771359024,10.536797288131996,430.421423182283,Edificio A,1,Tuesday
2023-01-18,536.2866134788108,318.7635429972598,43.72667927796812,11.825502701477598,435.56120028067176,Edificio A,1,Wednesday
2023-01-19,511.83970369485195,334.7427275911067,44.93871072279324,11.061623026126057,422.24922622487253,Edificio A,1,Thursday
2023-01-20,501.75855593369636,332.4156183250663,36.782569764092244,10.35744985912545,426.53120977817866,Edificio A,1,Friday
2023-01-21,409.3279751536374,41.526437527571574,41.43411273938186,10.774351684965177,437.93468845880136,Edificio A,1,Saturday
2023-01-22,375.515765567158,43.464497123104664,36.988890248780585,14.840546924139478,426.8111205376892,Edificio A,1,Sunday
2023-01-23,531.4040646315954,358.8419591989142,40.60836913767436,9.90923585042934,447.6612136242782,Edificio A,1,Monday
2023-01-24,501.58665635278726,349.6266684974451,60.78700033451563,10.418903584659084,426.27092600352034,Edificio A,1,Tuesday
2023-01-25,519.2279873716172,334.4044262365574,40.66222404677615,12.111722987688264,432.4134743882875,Edificio A,1,Wednesday
2023-01-26,532.3740076058386,331.2491870039785,76.40784197949638,12.2166532879908,439.4155310719282,Edificio A,1,Thursday
2023-01-27,507.18147854980685,345.22121686244446,54.9672079572571,12.376329207683973,415.85264021568105,Edificio A,1,Friday
2023-01-28,387.76697151903375,27.17718465797398,51.8546118378434,11.27787715078468,412.39857918781325,Edificio A,1,Saturday
2023-01-29,368.2977498665821,58.78037315598078,41.417116717973606,7.714036475858082,414.7441776754038,Edificio A,1,Sunday
2023-01-30,524.5399955987023,352.3552070990646,57.0204611455981,13.268020554702737,442.6443608758806,Edificio A,1,Monday
2023-01-31,518.4089009252989,335.97279323378325,44.299870894646006,7.711059157764208,424.54141764190086,Edificio A,1,Tuesday
2023-02-01,567.5635545867303,323.6456410539186,51.33744155978629,10.613093824700247,455.7071591642374,Edificio A,2,Wednesday
2023-02-02,530.3287770682111,354.4368060861089,75.80147239957628,8.504823434420507,424.5715261647737,Edificio A,2,Thursday
2023-02-03,509.5309826677849,339.8824034178282,49.345476291715066,9.89212832607812,432.171993340196,Edificio A,2,Friday
2023-02-04,397.22830256461776,53.544269603565596,61.92639024581037,10.6864352861372,445.88366697416257,Edificio A,2,Saturday
2023-02-05,356.4584304687414,25.368678614299156,43.55157004239621,10.681603383810884,450.6831521281567,Edificio A,2,Sunday
2023-02-06,535.156141574192,335.47455428160765,50.4051779634789,10.894179033033804,451.4204361593757,Edificio A,2,Monday
2023-02-07,491.89466977386166,341.68454537436753,68.65679817680612,13.290675326147362,443.0957069144125,Edificio A,2,Tuesday
2023-02-08,504.6391578631935,342.27412419939054,44.89479316571541,10.984699519267497,441.48271991794724,Edificio A,2,Wednesday
2023-02-09,535.260480140924,337.4842284205198,69.52650030959859,9.605154378060655,437.4207518702831,Edificio A,2,Thursday
2023-02-10,546.2184979283243,348.4022488160991,58.73889374163049,12.03893262904843,439.5557434412138,Edificio A,2,Friday
2023-02-11,385.0079398694667,31.694657074675007,46.31779810312578,12.50843870198718,426.560106422921,Edificio A,2,Saturday
2023-02-12,379.4044745885285,41.15236550422706,58.56928325169218,7.694464760468479,424.21289741765634,Edificio A,2,Sunday
2023-02-13,525.8376498321616,343.9925419330399,62.29504917215318,11.366100451425442,432.7070604135021,Edificio A,2,Monday
2023-02-14,502.43694279960664,348.1554622510202,59.1333658317494,11.596696565260293,431.40777106496665,Edificio A,2,Tuesday
2023-02-15,517.7634889029148,350.35670838710246,37.58014080670251,9.623698860320488,428.9689333793748,Edificio A,2,Wednesday
2023-02-16,523.1058743819369,332.2315537833204,46.39938951961481,12.996131045147472,440.87935317095486,Edificio A,2,Thursday
2023-02-17,553.6246104214935,328.3821071383165,51.605084587449255,9.971906888799234,443.9053410915337,Edificio A,2,Friday
2023-02-18,389.5232386967773,56.7530775770972,53.76646136335739,10.551872617233608,435.6955842275668,Edificio A,2,Saturday
2023-02-19,347.5639177272293,47.560221371521834,61.16892881378739,9.984670207317635,450.0683225047186,Edificio A,2,Sunday
2023-02-20,539.4853375573454,337.0206218886086,57.21138374089279,10.393449677266952,424.37977417232923,Edificio A,2,Monday
2023-02-21,525.4859862789841,360.2929675861909,42.57370983415139,8.202593387626424,434.38570238987205,Edificio A,2,Tuesday
2023-02-22,519.8381474665647,346.2216275519544,60.24237939615961,7.549258293884743,429.70153773914524,Edificio A,2,Wednesday
2023-02-23,545.8039947107691,357.14867524156585,63.07982149264054,13.653941062436765,418.77352880505856,Edificio A,2,Thursday
2023-02-24,554.3892092697718,346.32901304388025,63.12558925539216,8.807922955102129,437.2027235693935,Edificio A,2,Friday
2023-02-25,402.59838061883045,66.56664660357957,68.90920627108008,8.557308568789644,437.4240171994033,Edificio A,2,Saturday
2023-02-26,367.3967364004117,63.82503872172873,67.03415829973677,6.272882223075753,454.4090966369522,Edificio A,2,Sunday
2023-02-27,528.2098354615603,344.101482983086,63.89992290646615,9.34261797889978,446.2367804340083,Edificio A,2,Monday
2023-02-28,541.2369720903926,356.6332647030254,59.23911628069378,8.01653863953702,430.3616233783402,Edificio A,2,Tuesday
2023-03-01,554.3447863728759,353.7045852414946,43.98309379415487,13.990210528893723,459.8398090012777,Edificio A,3,Wednesday
2023-03-02,525.4770734891631,361.2771529444268,65.55990032676127,12.770548721047629,454.2249696330513,Edificio A,3,Thursday
2023-03-03,531.5784800074439,338.2882547052794,64.03049644904526,9.420607281472162,448.5715045839279,Edificio A,3,Friday
2023-03-04,363.40041975396116,55.151193451107034,65.37799139451815,15.349018478859579,441.24150890223706,Edificio A,3,Saturday
2023-03-05,361.8427350727511,59.23454620004263,50.621772744115844,12.856148207471117,434.6874833685721,Edificio A,3,Sunday
2023-03-06,552.261349906851,331.42885532421946,53.32400517036531,10.29264193794595,441.35480751870057,Edificio A,3,Monday
2023-03-07,563.3837452269431,337.55583185663227,75.4294469202283,5.994383129379472,456.77859914306777,Edificio A,3,Tuesday
2023-03-08,535.0709251917344,329.3743696574106,65.28352420467516,15.627156861397598,465.5702105188039,Edificio A,3,Wednesday
2023-03-09,556.8379655929949,347.45689310828607,73.29281814341809,8.319375811118931,463.00876719705985,Edificio A,3,Thursday
2023-03-10,544.2601292802531,357.7165357269102,67.57707174500928,7.862128371666527,443.55831963142225,Edificio A,3,Friday
2023-03-11,374.38895889009393,65.96060149425495,68.42462575906526,13.25361182162647,438.1393609888249,Edificio A,3,Saturday
2023-03-12,394.7869771413509,52.07954535097171,78.35993148251833,16.14464437419577,451.6510954533876,Edificio A,3,Sunday
2023-03-13,568.5911939270169,368.03184935225914,64.68327599552735,14.091460522201109,433.48224450725263,Edificio A,3,Monday
2023-03-14,537.3889454785857,338.3571848090282,71.68790489721641,12.509598048625158,455.3401540781748,Edificio A,3,Tuesday
2023-03-15,569.6768676472041,335.5421674028344,67.00300044181648,12.6312255719217,451.5914443544714,Edificio A,3,Wednesday
2023-03-16,486.27106279238274,352.4434703223003,68.19566319680332,13.209539482302379,449.3829688171858,Edificio A,3,Thursday
2023-03-17,555.3893438241521,357.2675950943645,70.3793212235386,13.082593343455196,439.0887479494387,Edificio A,3,Friday
2023-03-18,390.98083793399746,53.532897372910085,76.63806630386622,12.190164753774024,461.18051155906153,Edificio A,3,Saturday
2023-03-19,383.55154084337164,33.623110778634725,70.58991741519435,11.900229116692362,451.7422221439986,Edificio A,3,Sunday
2023-03-20,541.661796653668,353.848671289309,88.91034417811161,11.631665939026048,446.4104667600986,Edificio A,3,Monday
2023-03-21,500.37311070478256,342.1420384901521,68.39650441104166,10.314909317815761,430.44279379596935,Edificio A,3,Tuesday
2023-03-22,536.031885440934,362.33471028482677,76.47777742532135,11.328416104062114,459.9611110742243,Edificio A,3,Wednesday
2023-03-23,547.8712460121778,359.75947433388296,74.9669241586238,8.571702021033598,479.0443663574873,Edificio A,3,Thursday
2023-03-24,570.5932940600221,347.1543218845141,94.86527732148006,11.829687311606683,479.03445718861764,Edificio A,3,Friday
2023-03-25,380.97908378351843,51.87806305012013,83.40552725608067,10.118816418429162,458.9650155578332,Edificio A,3,Saturday
2023-03-26,375.4862558898899,46.89205670274099,92.81581367285253,9.959312584112869,458.6417388930928,Edificio A,3,Sunday
2023-03-27,531.9350993441899,357.3285693510891,68.71174778205881,12.597611736468858,470.4929175073407,Edificio A,3,Monday
2023-03-28,560.5947742291694,367.98152101770415,87.3201147933201,15.0939787149977,456.9757318850531,Edificio A,3,Tuesday
2023-03-29,549.1805313353802,349.0510032499244,94.64013740381809,14.219555175176875,471.1446704089506,Edificio A,3,Wednesday
2023-03-30,532.3312734811318,364.4301814898873,87.67251910384641,9.315644073493123,476.9671272756786,Edificio A,3,Thursday
2023-03-31,553.5148906703848,354.5717368284522,98.62163748865522,10.551865976059437,482.76728822604485,Edificio A,3,Friday
2023-04-01,395.51615775311353,52.43318182660562,83.92207749031215,14.487873175397489,470.6997520259374,Edificio A,4,Saturday
2023-04-02,413.274475317532,59.78205966076575,104.32720408414198,10.717273858409127,470.8792408260023,Edificio A,4,Sunday
2023-04-03,530.1892894648408,350.993103789388,114.37178060566171,12.309586991303897,465.36182679320154,Edificio A,4,Monday
2023-04-04,538.0075939173626,356.30476222050504,88.91344495432108,13.936226235296948,467.1091490555669,Edificio A,4,Tuesday
2023-04-05,537.0507710350331,350.36062222062594,89.25545459006852,10.977343077211145,474.3597228719994,Edificio A,4,Wednesday
2023-04-06,515.9562457172386,382.4870683489854,109.42224558072903,13.203311066262055,481.55461593168394,Edificio A,4,Thursday
2023-04-07,551.4839752812082,363.6949901295923,111.87096598903659,10.403631978945555,488.28277376284393,Edificio A,4,Friday
2023-04-08,401.1190154462254,56.84960992401557,92.04205901166684,11.948641997644208,472.39024706194266,Edificio A,4,Saturday
2023-04-09,396.3377349359844,66.49299781204489,94.27242266581355,13.871183257403217,496.6327959154855,Edificio A,4,Sunday
2023-04-10,541.8823944488674,363.7379251776474,96.86793644183643,10.126398034966096,480.2869320220452,Edificio A,4,Monday
2023-04-11,518.6064087457062,363.16103938473935,87.46027026272989,14.274601167458975,484.0847541211265,Edificio A,4,Tuesday
2023-04-12,538.8415181024275,372.02330383703634,92.94438868593635,13.436118278865191,478.13418523601865,Edificio A,4,Wednesday
2023-04-13,540.7415487714776,373.9688357534925,93.32240986643365,14.66256774443125,462.67900276682184,Edificio A,4,Thursday
2023-04-14,531.8924206666189,361.6019376004717,96.9251625339008,14.088037480458794,497.0838013608821,Edificio A,4,Friday
2023-04-15,395.0549897919309,61.662873631429804,105.50165399241816,16.451514384366753,496.9401753616294,Edificio A,4,Saturday
2023-04-16,406.7049686002444,65.18541022441397,109.44168987491895,14.057085175266065,488.09290314834186,Edificio A,4,Sunday
2023-04-17,586.6913246797455,345.4321983359465,123.86089145282835,13.031581352728667,492.9161861319155,Edificio A,4,Monday
2023-04-18,552.8031240241819,353.8154410293321,99.63362210246565,14.219072506721472,498.75103218755146,Edificio A,4,Tuesday
2023-04-19,554.8067406913385,383.1523419897702,120.72622074652253,15.145462508856554,479.316404643675,Edificio A,4,Wednesday
2023-04-20,548.5110816846766,386.44967713501285,110.0131257441341,14.241254419744022,491.00602169201886,Edificio A,4,Thursday
2023-04-21,511.96884281713585,368.0260402891113,112.93220135365458,14.30963927908636,505.5979411430758,Edificio A,4,Friday
2023-04-22,400.1581547234706,76.79821797924004,121.45228701317119,12.909622763820165,486.4748039992463,Edificio A,4,Saturday
2023-04-23,402.23699754328555,74.66109156213298,104.75717641692557,13.073157940401341,503.3189357297181,Edificio A,4,Sunday
2023-04-24,600.6408907857522,402.85288088862194,121.0914701532829,11.67928096916344,488.1860461579712,Edificio A,4,Monday
2023-04-25,547.8720766791265,383.77469307646913,120.21716217682207,18.069329492686645,507.78711592533955,Edificio A,4,Tuesday
2023-04-26,558.0929807956209,371.81387500861536,124.7643306299075,12.16826139520583,504.13939103283957,Edificio A,4,Wednesday
2023-04-27,551.7099255038822,364.0508369409763,124.02021139733415,13.356091268291916,489.7191084630846,Edificio A,4,Thursday
2023-04-28,529.3720146898747,358.0538999608222,146.971380527403,13.391077410747876,518.8936646147521,Edificio A,4,Friday
2023-04-29,425.942632703586,76.66390097860067,117.33159844579924,16.70378197310971,501.2770157395527,Edificio A,4,Saturday
2023-04-30,418.46452353736504,67.57528687260128,119.69003044998182,14.410100643415944,501.8974756298562,Edificio A,4,Sunday
2023-05-01,569.5851731377259,361.4242641993206,120.05959644743996,17.581550926126642,513.3827604647762,Edificio A,5,Monday
2023-05-02,535.9143409014775,369.68740615363333,122.0268496801034,13.825126809625992,524.2401024241068,Edificio A,5,Tuesday
2023-05-03,582.4943164788053,365.84216535398104,122.49760376867884,15.816086660563874,503.97135518807636,Edificio A,5,Wednesday
2023-05-04,526.7364340642735,394.03159933090416,142.05034732124952,13.673318027492085,516.1209926426653,Edificio A,5,Thursday
2023-05-05,566.8442077783291,386.4769964229801,145.652402385207,19.72012224923401,521.1653489023014,Edificio A,5,Friday
2023-05-06,449.2482756668817,78.07901831285699,127.02516437106286,13.140311649178148,525.1791918684263,Edificio A,5,Saturday
2023-05-07,385.9589221549984,93.45391437531853,125.69204763640917,16.22068164495082,521.3810591447204,Edificio A,5,Sunday
2023-05-08,544.7724699010703,379.92131981616484,140.0100634723589,16.953947622430523,517.312023378228,Edificio A,5,Monday
2023-05-09,558.4184205356,371.02524783748834,131.0509311070114,16.5991422982244,514.0688034466552,Edificio A,5,Tuesday
2023-05-10,546.6809449095583,395.35692776051997,144.17630399116592,15.48589040315197,524.5648903649819,Edificio A,5,Wednesday
2023-05-11,526.0602538222048,385.9993841021377,141.1462334467563,15.681492149749369,514.3367466676034,Edificio A,5,Thursday
2023-05-12,558.765750353934,370.7192747434556,125.22539634017413,16.113145443301317,497.19485515454346,Edificio A,5,Friday
2023-05-13,386.46719385035004,79.66651540647212,157.11916548861305,15.815603561763849,532.11931908191,Edificio A,5,Saturday
2023-05-14,417.5016083968231,73.28845714233162,160.85923418140146,18.12112206361957,538.133169691338,Edificio A,5,Sunday
2023-05-15,539.9553873675702,368.68781076872614,138.02361022887015,20.697812478763638,506.7989392538766,Edificio A,5,Monday
2023-05-16,589.6541999513594,392.2450432518294,141.51984621569807,15.24480721765486,521.6593455556291,Edificio A,5,Tuesday
2023-05-17,543.2995209880835,402.54104665691364,149.49483637329473,13.70280620524489,539.2701372405007,Edificio A,5,Wednesday
2023-05-18,552.8297750939435,369.9208323888941,151.21365974909193,16.348042026578934,554.96865266962,Edificio A,5,Thursday
2023-05-19,575.8450211497092,389.9917075703794,155.68066735365565,21.765766983770458,535.9095100121433,Edificio A,5,Friday
2023-05-20,385.2582246745205,78.30684081358103,170.41626285722197,15.080265362031106,529.7218025552377,Edificio A,5,Saturday
2023-05-21,414.7226175691247,80.38887447791615,149.7562368882874,20.046614221769993,536.4651253630612,Edificio A,5,Sunday
2023-05-22,586.6111672329596,379.7785289785778,144.74636827141595,20.204024342606246,553.3267276227357,Edificio A,5,Monday
2023-05-23,528.6104387395415,377.5002474493508,140.13156318812526,15.821140547802047,534.3934307082433,Edificio A,5,Tuesday
2023-05-24,564.7413834339985,387.0582756744769,147.8022987910288,18.145406104400415,534.1271190699753,Edificio A,5,Wednesday
2023-05-25,566.5316910107908,378.69155152462315,155.9582504671858,20.34276125931866,538.548052987165,Edificio A,5,Thursday
2023-05-26,577.2524629046222,390.1285764614124,175.4037480764602,16.405622480777183,535.0887613214474,Edificio A,5,Friday
2023-05-27,387.1555195216536,87.33941951433152,153.4410876401691,16.833985988497332,547.0850504991809,Edificio A,5,Saturday
2023-05-28,385.76040514061697,85.8648256347897,162.00414983410278,16.154389526616967,563.3308062569238,Edificio A,5,Sunday
2023-05-29,572.8797662811553,379.58576583281,160.74080904795662,15.364155739193208,551.5294999404233,Edificio A,5,Monday
2023-05-30,568.6483394824672,383.29525572102204,173.91709899647915,16.17032266066787,546.9785089915353,Edificio A,5,Tuesday
2023-05-31,567.9824482276172,397.012799089307,188.41964504764405,15.095474185736007,547.7755628190129,Edificio A,5,Wednesday
2023-06-01,420.16165655478505,144.85821042351216,158.94748282321308,17.685244973346204,536.2413405022775,Edificio A,6,Thursday
2023-06-02,399.8883779450891,130.45775611700287,160.45599344019027,16.150079395574217,561.8715114945355,Edificio A,6,Friday
2023-06-03,268.38612928769345,0.0,176.8742572582622,18.22974838941959,553.4164530832816,Edificio A,6,Saturday
2023-06-04,269.8506160070066,0.0,174.32154661809696,14.721717489048334,553.5313413673832,Edificio A,6,Sunday
2023-06-05,399.9461040851081,124.6556458572395,187.0270937663954,18.56576183169792,588.3950975547526,Edificio A,6,Monday
2023-06-06,451.7883709888133,147.1429230726767,175.4437833753169,19.640691358021666,560.565664040518,Edificio A,6,Tuesday
2023-06-07,424.18499887751545,135.43627309946112,167.04284435076386,14.05491306543272,551.1602391082582,Edificio A,6,Wednesday
2023-06-08,391.1133718098781,148.11514931682825,177.56005443998816,18.85834688189948,555.5001639132139,Edificio A,6,Thursday
2023-06-09,428.29718834224786,135.11658268893171,183.7444583725924,20.63249948939747,572.3190411631817,Edificio A,6,Friday
2023-06-10,245.89466313313233,0.0,181.85203888959722,15.823865767792496,563.0230689881762,Edificio A,6,Saturday
2023-06-11,281.34760909626453,0.0,179.69533667924387,21.653317864886798,548.5479896762087,Edificio A,6,Sunday
2023-06-12,438.9908247152837,144.20921916931712,186.25001830836246,19.210256112896815,573.1477788523877,Edificio A,6,Monday
2023-06-13,399.6135753964593,146.63805766245514,188.22191344623175,17.025240124601517,558.2827805225035,Edificio A,6,Tuesday
2023-06-14,435.4983037650336,135.30300551917674,191.2809644392488,18.385753479942824,584.6896439263072,Edificio A,6,Wednesday
2023-06-15,424.6851496047782,151.03022118684612,184.86134554702954,19.67493693645232,577.7330104396885,Edificio A,6,Thursday
2023-06-16,433.06461572720593,128.31991816828463,177.6021220690249,18.770230974304386,563.4183041070855,Edificio A,6,Friday
2023-06-17,304.74822776576855,0.0,181.62341358663215,19.754597099712665,581.6435254544699,Edificio A,6,Saturday
2023-06-18,262.0885795104931,0.0,193.08799624232523,16.893513252324045,570.4363221209985,Edificio A,6,Sunday
2023-06-19,402.10055587836627,139.24455767025245,173.70357892601982,19.13025069046497,579.1922014295071,Edificio A,6,Monday
2023-06-20,399.55883850208147,146.49767735505202,186.39284510502432,16.01964514060973,576.4005143236598,Edificio A,6,Tuesday
2023-06-21,401.20162840357614,137.67261750148776,179.58880070703455,18.679027132656476,563.9601015357533,Edificio A,6,Wednesday
