dt,Energia Consumida,Temperatura,Humedad
2024-07-01T00:00:00,6.6,20.13,76.09
2024-07-01T01:00:00,6.63,20.17,76.11
2024-07-01T02:00:00,6.42,20.21,76.5
2024-07-01T03:00:00,6.75,20.27,77.38
2024-07-01T04:00:00,6.62,20.38,77.46
2024-07-01T05:00:00,6.67,20.28,81.33
2024-07-01T06:00:00,8.06,20.29,80.81
2024-07-01T07:00:00,9.36,21.03,82.14
2024-07-01T08:00:00,9.98,21.9,78.72
2024-07-01T09:00:00,10.53,22.5,76.77
2024-07-01T10:00:00,11.25,22.88,74.63
2024-07-01T11:00:00,10.65,23.41,72.52
2024-07-01T12:00:00,10.88,23.67,73.12
2024-07-01T13:00:00,10.56,23.67,72.83
2024-07-01T14:00:00,9.26,23.8,72.48
2024-07-01T15:00:00,6.91,23.32,75.17
2024-07-01T16:00:00,7.04,22.5,77.53
2024-07-01T17:00:00,7.12,22.54,74.92
2024-07-01T18:00:00,6.62,22.14,75.49
2024-07-01T19:00:00,6.67,21.53,76.84
2024-07-01T20:00:00,6.99,21.23,77.43
2024-07-01T21:00:00,6.57,21.11,77.3
2024-07-01T22:00:00,6.43,21.15,77.74
2024-07-01T23:00:00,6.58,20.93,81.06
2024-07-02T00:00:00,6.29,20.36,84.45
2024-07-02T01:00:00,6.31,20.72,80.58
2024-07-02T02:00:00,6.32,20.52,80.48
2024-07-02T03:00:00,6.01,20.46,77.17
2024-07-02T04:00:00,6.1,20.45,76.77
2024-07-02T05:00:00,6.58,20.46,76.71
2024-07-02T06:00:00,6.72,20.65,77.27
2024-07-02T07:00:00,7.99,21.18,76.1
2024-07-02T08:00:00,8.8,22.11,70.26
2024-07-02T09:00:00,10.46,22.98,67.62
2024-07-02T10:00:00,10.03,23.45,68.9
2024-07-02T11:00:00,9.4,23.75,68.92
2024-07-02T12:00:00,10.41,23.93,65.86
2024-07-02T13:00:00,9.85,23.81,66.9
2024-07-02T14:00:00,8.74,24.07,65.88
2024-07-02T15:00:00,7.53,23.53,68.83
2024-07-02T16:00:00,7.4,23.16,68.95
2024-07-02T17:00:00,7.58,23.06,66.67
2024-07-02T18:00:00,7.29,22.47,71.92
2024-07-02T19:00:00,7.46,21.67,77.3
2024-07-02T20:00:00,6.93,21.22,77.54
2024-07-02T21:00:00,7.45,21.17,76.66
2024-07-02T22:00:00,7.07,21.15,75.12
2024-07-02T23:00:00,7.11,20.92,74.46
2024-07-03T00:00:00,7.29,20.85,74.23
2024-07-03T01:00:00,6.75,20.65,75.51
2024-07-03T02:00:00,7.09,20.79,77.67
2024-07-03T03:00:00,7.03,20.76,77.59
2024-07-03T04:00:00,6.62,20.66,76.31
2024-07-03T05:00:00,6.56,20.47,76.38
2024-07-03T06:00:00,6.76,20.22,77.5
2024-07-03T07:00:00,8.61,20.93,73.57
2024-07-03T08:00:00,9.44,22.06,68.68
2024-07-03T09:00:00,9.53,23.08,68.29
2024-07-03T10:00:00,10.15,23.53,67.78
2024-07-03T11:00:00,10.86,23.81,65.7
2024-07-03T12:00:00,11.48,23.98,67.36
2024-07-03T13:00:00,10.8,23.98,69.17
2024-07-03T14:00:00,10.5,24.3,65.88
2024-07-03T15:00:00,8.68,23.88,69.45
2024-07-03T16:00:00,8.24,23.53,70.26
2024-07-03T17:00:00,7.94,23.12,73.67
2024-07-03T18:00:00,7.4,22.57,75.07
2024-07-03T19:00:00,8.0,22.1,77.2
2024-07-03T20:00:00,8.02,21.73,75.57
2024-07-03T21:00:00,7.38,21.7,74.81
2024-07-03T22:00:00,7.77,21.47,79.91
2024-07-03T23:00:00,7.63,20.93,76.79
2024-07-04T00:00:00,7.32,20.73,77.14
2024-07-04T01:00:00,7.6,20.31,78.66
2024-07-04T02:00:00,7.57,20.58,80.25
2024-07-04T03:00:00,6.89,19.68,81.1
2024-07-04T04:00:00,6.67,20.2,79.03
2024-07-04T05:00:00,6.89,19.99,77.6
2024-07-04T06:00:00,7.74,19.85,77.08
2024-07-04T07:00:00,8.92,21.04,73.23
2024-07-04T08:00:00,8.66,22.5,72.16
2024-07-04T09:00:00,10.07,23.22,70.2
2024-07-04T10:00:00,11.41,23.91,70.95
2024-07-04T11:00:00,11.83,24.38,69.95
2024-07-04T12:00:00,12.24,24.42,69.33
2024-07-04T13:00:00,10.71,24.44,71.51
2024-07-04T14:00:00,9.07,24.19,71.93
2024-07-04T15:00:00,7.66,24.27,71.33
2024-07-04T16:00:00,6.93,24.08,71.82
2024-07-04T17:00:00,6.92,23.49,73.59
2024-07-04T18:00:00,6.81,23.0,75.94
2024-07-04T19:00:00,6.9,22.34,79.76
2024-07-04T20:00:00,7.56,21.78,79.5
2024-07-04T21:00:00,7.35,21.55,81.44
2024-07-04T22:00:00,7.25,20.99,85.58
2024-07-04T23:00:00,6.79,20.92,84.08
2024-07-05T00:00:00,7.16,20.61,83.57
2024-07-05T01:00:00,6.78,20.5,83.44
2024-07-05T02:00:00,6.66,20.39,82.07
2024-07-05T03:00:00,6.9,20.2,81.69
2024-07-05T04:00:00,6.45,19.65,81.87
2024-07-05T05:00:00,6.85,19.81,80.42
2024-07-05T06:00:00,7.07,19.96,79.54
2024-07-05T07:00:00,8.94,21.63,76.86
2024-07-05T08:00:00,10.24,22.56,72.41
2024-07-05T09:00:00,9.57,22.86,71.53
2024-07-05T10:00:00,9.44,23.38,72.03
2024-07-05T11:00:00,9.94,23.83,71.63
2024-07-05T12:00:00,10.25,23.96,70.65
2024-07-05T13:00:00,10.45,23.95,69.96
2024-07-05T14:00:00,9.99,23.99,69.3
2024-07-05T15:00:00,9.14,23.77,70.1
2024-07-05T16:00:00,9.07,23.65,70.52
2024-07-05T17:00:00,8.41,23.08,73.43
2024-07-05T18:00:00,7.97,22.48,75.59
2024-07-05T19:00:00,6.83,21.76,78.14
2024-07-05T20:00:00,7.89,21.23,79.04
2024-07-05T21:00:00,6.27,21.17,76.64
2024-07-05T22:00:00,6.93,20.98,76.79
2024-07-05T23:00:00,7.59,20.89,79.72
2024-07-06T00:00:00,6.15,20.58,81.76
2024-07-06T01:00:00,6.38,20.64,79.55
2024-07-06T02:00:00,5.59,20.23,77.58
2024-07-06T03:00:00,6.23,20.07,79.78
2024-07-06T04:00:00,5.73,19.54,80.18
2024-07-06T05:00:00,5.95,19.74,80.32
2024-07-06T06:00:00,5.89,20.6,83.96
2024-07-06T07:00:00,5.94,21.7,83.05
2024-07-06T08:00:00,5.86,22.48,82.56
2024-07-06T09:00:00,6.06,22.67,81.63
2024-07-06T10:00:00,6.3,23.05,81.25
2024-07-06T11:00:00,6.14,23.26,79.68
2024-07-06T12:00:00,6.45,23.44,77.91
2024-07-06T13:00:00,6.26,24.06,72.27
2024-07-06T14:00:00,6.14,24.14,71.69
2024-07-06T15:00:00,6.17,23.82,73.69
2024-07-06T16:00:00,6.23,23.62,75.38
2024-07-06T17:00:00,5.9,23.2,76.84
2024-07-06T18:00:00,5.99,22.64,77.59
2024-07-06T19:00:00,6.05,21.85,78.33
2024-07-06T20:00:00,6.13,21.32,80.2
2024-07-06T21:00:00,6.3,20.94,81.67
2024-07-06T22:00:00,6.17,20.84,80.74
2024-07-06T23:00:00,6.6,20.87,80.57
2024-07-07T00:00:00,5.95,20.78,80.01
2024-07-07T01:00:00,6.19,20.63,80.86
2024-07-07T02:00:00,5.95,20.5,79.79
2024-07-07T03:00:00,6.21,20.56,80.48
2024-07-07T04:00:00,5.98,20.61,81.06
2024-07-07T05:00:00,5.84,20.58,81.3
2024-07-07T06:00:00,5.56,20.44,84.95
2024-07-07T07:00:00,5.66,20.58,85.04
2024-07-07T08:00:00,6.87,21.34,79.68
2024-07-07T09:00:00,5.58,21.98,77.78
2024-07-07T10:00:00,5.92,22.79,75.04
2024-07-07T11:00:00,5.75,23.2,74.14
2024-07-07T12:00:00,6.19,23.78,73.28
2024-07-07T13:00:00,6.17,24.02,72.1
2024-07-07T14:00:00,5.98,23.92,72.9
2024-07-07T15:00:00,6.0,23.79,70.51
2024-07-07T16:00:00,5.92,23.51,73.18
2024-07-07T17:00:00,6.07,23.08,74.24
2024-07-07T18:00:00,5.96,22.53,75.23
2024-07-07T19:00:00,5.84,21.79,75.84
2024-07-07T20:00:00,6.17,21.23,78.82
2024-07-07T21:00:00,6.38,20.93,78.9
2024-07-07T22:00:00,6.35,20.77,79.82
2024-07-07T23:00:00,5.87,20.54,79.47
2024-07-08T00:00:00,5.93,20.39,80.07
2024-07-08T01:00:00,5.69,20.23,79.95
2024-07-08T02:00:00,6.23,19.96,79.77
2024-07-08T03:00:00,5.97,19.69,80.26
2024-07-08T04:00:00,5.89,19.32,80.53
2024-07-08T05:00:00,5.91,18.76,80.8
2024-07-08T06:00:00,7.08,18.56,80.72
2024-07-08T07:00:00,10.2,20.61,76.77
2024-07-08T08:00:00,10.56,21.98,72.94
2024-07-08T09:00:00,10.37,22.49,71.48
2024-07-08T10:00:00,10.13,22.97,70.08
2024-07-08T11:00:00,10.31,23.4,68.8
2024-07-08T12:00:00,10.59,23.58,68.45
2024-07-08T13:00:00,10.58,23.46,68.98
2024-07-08T14:00:00,9.86,23.52,68.69
2024-07-08T15:00:00,7.09,23.42,69.18
2024-07-08T16:00:00,7.02,23.17,70.13
2024-07-08T17:00:00,6.89,22.82,71.78
2024-07-08T18:00:00,6.59,22.19,73.94
2024-07-08T19:00:00,7.37,21.57,76.42
2024-07-08T20:00:00,7.22,21.14,77.98
2024-07-08T21:00:00,7.13,20.91,79.53
2024-07-08T22:00:00,7.17,20.87,79.6
2024-07-08T23:00:00,7.05,21.12,76.82
