,Energia Consumida,Temperatura,Humedad
2024-07-01,191.15,21.71,76.765
2024-07-02,185.83,21.969,73.388
2024-07-03,200.53,22.129,73.098
2024-07-04,197.76,22.161,75.965
2024-07-05,196.79,21.929,76.122
2024-07-06,146.61,21.888,79.091
2024-07-07,144.36,21.828,77.684
2024-07-08,188.83,21.505,75.153
2024-07-09,210.02,22.882,74.223
2024-07-10,217.54,23.288,77.848
2024-07-11,205.98,22.978,83.63
2024-07-12,227.54,23.546,77.395
2024-07-13,191.4,22.755,77.827
2024-07-14,147.53,22.055,82.324
2024-07-15,230.39,23.664,72.673
2024-07-16,254.12,22.969,82.792
2024-07-17,189.74,22.568,78.781
2024-07-18,243.66,22.483,79.049
2024-07-19,260.45,25.354,51.923
2024-07-20,216.5,25.168,57.726
2024-07-21,181.8,23.648,77.913
2024-07-22,228.54,23.313,80.875
2024-07-23,207.55,23.231,78.877
2024-07-24,223.9,23.803,80.183
2024-07-25,269.0,26.26,61.251
2024-07-26,281.64,23.525,81.87
2024-07-27,228.65,23.105,82.1
2024-07-28,175.07,23.31,77.749
2024-07-29,238.73,23.078,82.033
2024-07-30,248.27,23.154,78.469
2024-07-31,275.55,23.965,74.651
2024-08-01,300.8,24.055,76.033
2024-08-02,273.4,24.098,76.542
2024-08-03,223.82,26.556,57.2
2024-08-04,214.98,23.725,79.935
2024-08-05,250.96,23.433,78.442
2024-08-06,288.97,23.867,73.66
2024-08-07,292.69,24.15,71.26
2024-08-08,281.17,24.03,74.518
2024-08-09,238.44,23.74,77.223
2024-08-10,180.75,23.613,78.457
2024-08-11,145.8,23.742,78.837
2024-08-12,212.53,23.809,79.42
2024-08-13,231.3,23.837,79.702
2024-08-14,236.72,24.424,73.696
2024-08-15,184.55,24.166,73.349
2024-08-16,219.41,24.068,77.342
2024-08-17,226.91,26.37,66.906
2024-08-18,208.4,25.507,74.549
2024-08-19,239.75,24.699,83.689
2024-08-20,207.35,25.145,73.79
2024-08-21,207.46,24.862,79.152
2024-08-22,202.78,24.08,80.17
2024-08-23,231.94,23.936,71.717
2024-08-24,184.67,24.849,69.206
2024-08-25,165.55,24.498,76.457
2024-08-26,197.06,24.448,76.462
2024-08-27,215.38,23.82,80.07
2024-08-28,207.06,23.999,74.182
2024-08-29,220.37,24.348,71.03
2024-08-30,210.71,24.133,74.588
2024-08-31,142.82,23.83,67.529
2024-09-01,138.77,23.807,66.717
2024-09-02,197.54,24.312,69.924
2024-09-03,221.31,24.039,74.251
2024-09-04,227.03,23.812,69.182
2024-09-05,240.28,23.621,69.268
2024-09-06,219.31,23.377,71.792
2024-09-07,156.41,23.619,70.832
2024-09-08,148.11,23.418,71.751
2024-09-09,218.84,23.485,73.363
2024-09-10,212.06,23.532,75.222
2024-09-11,222.86,23.758,71.53
2024-09-12,216.05,23.874,66.812
2024-09-13,218.42,23.75,74.162
2024-09-14,164.18,23.643,77.584
2024-09-15,149.38,23.647,73.893
2024-09-16,216.33,23.447,69.598
2024-09-17,205.2,22.695,77.773
2024-09-18,229.22,22.961,79.3
2024-09-19,229.64,21.582,85.083
2024-09-20,200.85,22.13,80.889
2024-09-21,146.08,22.566,77.86
2024-09-22,153.36,23.455,72.121
2024-09-23,204.37,23.56,72.78
2024-09-24,201.15,23.366,73.757
2024-09-25,206.48,23.302,74.886
2024-09-26,193.13,23.339,79.148
2024-09-27,219.09,23.997,79.508
2024-09-28,193.68,23.955,79.169
2024-09-29,183.78,23.304,71.008
2024-09-30,246.03,22.685,70.083
2024-10-01,238.48,23.023,73.516
2024-10-02,235.23,23.698,75.817
2024-10-03,237.19,24.206,77.639
2024-10-04,240.13,23.93,82.298
2024-10-05,175.24,23.687,81.67
2024-10-06,165.99,23.061,82.331
2024-10-07,223.48,23.765,79.985
2024-10-08,222.68,22.782,79.231
2024-10-09,238.94,23.175,78.189
2024-10-10,216.54,23.58,81.148
2024-10-11,229.41,23.673,81.119
2024-10-12,164.83,23.74,82.305
2024-10-13,163.23,23.867,76.45
2024-10-14,205.18,23.628,67.773
2024-10-15,231.11,23.684,78.4
2024-10-16,232.79,23.738,87.7
2024-10-17,226.57,23.547,74.625
2024-10-18,219.2,22.856,67.108
2024-10-19,166.51,22.642,72.814
2024-10-20,167.05,22.824,77.307
2024-10-21,197.01,22.705,73.62
2024-10-22,203.83,23.042,67.59
2024-10-23,225.33,22.832,72.825
2024-10-24,211.46,22.634,74.126
2024-10-25,224.67,22.705,70.412
2024-10-26,159.04,21.92,69.222
2024-10-27,145.85,21.515,64.962
2024-10-28,203.73,21.662,65.396
2024-10-29,216.5,20.707,67.553
2024-10-30,214.16,20.454,67.313
2024-10-31,223.2,20.202,64.55
