,Energia Consumida,Temperatura,Humedad
2024-10-01,238.48,23.023,73.516
2024-10-02,235.23,23.698,75.817
2024-10-03,237.19,24.206,77.639
2024-10-04,240.13,23.93,82.298
2024-10-05,175.24,23.687,81.67
2024-10-06,165.99,23.061,82.331
2024-10-07,223.48,23.765,79.985
2024-10-08,222.68,22.782,79.231
2024-10-09,238.94,23.175,78.189
2024-10-10,216.54,23.58,81.148
2024-10-11,229.41,23.673,81.119
2024-10-12,164.83,23.74,82.305
2024-10-13,163.23,23.867,76.45
2024-10-14,205.18,23.628,67.773
2024-10-15,231.11,23.684,78.4
2024-10-16,232.79,23.738,87.7
2024-10-17,226.57,23.547,74.625
2024-10-18,219.2,22.856,67.108
2024-10-19,166.51,22.642,72.814
2024-10-20,167.05,22.824,77.307
2024-10-21,197.01,22.705,73.62
2024-10-22,203.83,23.042,67.59
2024-10-23,225.33,22.832,72.825
2024-10-24,211.46,22.634,74.126
2024-10-25,224.67,22.705,70.412
2024-10-26,159.04,21.92,69.222
2024-10-27,145.85,21.515,64.962
2024-10-28,203.73,21.662,65.396
2024-10-29,216.5,20.707,67.553
2024-10-30,214.16,20.454,67.313
2024-10-31,223.2,20.202,64.55
2024-11-01,167.57,20.93,67.308
2024-11-02,148.06,21.122,70.48
2024-11-03,149.93,21.648,77.31
2024-11-04,206.61,22.11,81.431
2024-11-05,222.94,22.073,76.951
2024-11-06,220.52,21.02,79.526
2024-11-07,229.06,21.795,83.585
2024-11-08,217.72,24.552,62.302
2024-11-09,184.66,26.097,42.594
2024-11-10,173.63,26.635,39.01
2024-11-11,225.55,23.729,66.968
2024-11-12,209.84,22.278,71.582
2024-11-13,223.4,21.244,71.805
2024-11-14,221.32,21.003,68.8
2024-11-15,192.35,20.274,69.93
2024-11-16,160.18,20.848,64.603
2024-11-17,170.02,21.268,73.883
2024-11-18,209.16,21.431,79.938
2024-11-19,221.67,21.918,74.96
2024-11-20,233.92,25.748,45.793
2024-11-21,240.84,27.067,38.009
2024-11-22,225.45,26.338,34.886
2024-11-23,159.9,22.834,56.282
2024-11-24,136.24,21.937,82.392
2024-11-25,193.86,22.073,84.295
2024-11-26,211.1,22.151,85.389
2024-11-27,155.17,21.897,71.593
2024-11-28,168.66,23.059,54.671
2024-11-29,157.23,24.963,27.18
2024-11-30,133.82,24.604,37.322
2024-12-01,132.55,22.564,51.817
2024-12-02,187.7,21.993,71.882
2024-12-03,209.73,21.678,70.116
2024-12-04,175.54,21.532,72.57
2024-12-05,200.68,21.155,75.185
2024-12-06,146.87,20.801,73.805
2024-12-07,136.77,21.3,76.386
2024-12-08,137.27,21.096,75.054
2024-12-09,169.6,20.698,67.571
2024-12-10,168.15,19.484,64.164
2024-12-11,172.52,18.419,60.22
2024-12-12,177.84,18.851,61.936
2024-12-13,184.12,18.493,68.933
2024-12-14,130.72,20.713,53.645
2024-12-15,117.38,22.219,53.577
2024-12-16,171.76,24.841,26.577
2024-12-17,197.45,22.065,43.505
2024-12-18,208.88,19.808,54.765
2024-12-19,197.65,19.468,59.611
2024-12-20,171.26,19.905,70.491
2024-12-21,127.96,19.482,67.054
2024-12-22,110.29,18.678,60.644
2024-12-23,157.46,18.935,68.384
2024-12-24,151.04,20.146,57.286
2024-12-25,155.28,20.467,59.127
2024-12-26,177.48,19.222,70.821
2024-12-27,163.73,18.8,70.509
2024-12-28,136.4,19.817,63.528
2024-12-29,111.97,19.278,69.048
2024-12-30,145.13,18.613,64.812
2024-12-31,112.31,18.397,63.389
